,averageFitness
0,-1.8
1,-2.3
2,-2.033333333333333
3,-3.5
4,-3.0
5,0.2
6,-2.3333333333333335
7,-0.3
8,-0.6
9,-0.13333333333333333
10,0.4
11,0.1
12,-1.3
13,-1.2
14,-0.4
15,-1.1
16,-0.6
17,-1.1
18,-0.5
19,-0.4
20,-0.43333333333333335
21,-0.5
22,-1.4
23,-0.4
24,-0.9
25,-0.8
26,-0.8
27,-0.3
28,0.2
29,-0.5
30,-1.3
31,0.3
32,-1.1333333333333333
33,0.0
34,-1.5
35,-1.4
36,-1.9
37,-1.9
38,-1.3
39,-2.0
40,-1.3333333333333333
41,-1.4
42,-0.8
43,0.0
44,-1.4
45,-1.5
46,-1.6333333333333333
47,-0.5333333333333333
48,-0.1
49,0.6
50,-0.3
51,-0.7
52,-0.43333333333333335
53,-1.5
54,-0.6333333333333333
55,0.6333333333333333
56,-1.2
57,-0.2
58,0.26666666666666666
59,0.26666666666666666
60,-0.7
61,-0.16666666666666666
62,0.7
63,0.5666666666666667
64,0.7666666666666667
65,-0.43333333333333335
66,0.2
67,0.6
68,0.1
69,0.0
70,1.0
71,0.7666666666666667
72,-0.2
73,-0.4
74,-0.8
75,0.5333333333333333
76,-0.1
77,-0.3
78,0.6
79,1.2
80,1.2
81,-0.03333333333333333
82,-0.1
83,1.0
84,-0.6
85,0.3
86,-0.3
87,0.1
88,0.7
89,0.1
90,-0.4
91,-0.8
92,0.2
93,-0.6
94,0.0
95,0.5
96,0.4
97,0.9
98,-0.1
99,0.4
